LOCALITÀ DI INTERVENTO;"Attrattore
Tipo";"Attrattore
Nome";Municipio;"Posti
×
manuf";"Tot
manuf";"Tot
posti";Data di posa
Agnello, Via – cv 20;Vari;;1;5;2;10;20/09/2016
Agnello, Via – cv 20;Vari;;1;5;1;5;20/09/2016
Alemagna, Viale – Presso Triennale di Milano;Museo;Triennale di Milano;1;5;8;40;27/06/2015
Andreani, Via – cv. 10;Uffici e servizi pubblici;Avvocatura comunale;1;5;4;20;18/06/2015
Ansperto, Via - cv 4                        -  Richiesta assessore;Vari;;1;5;2;10;10/11/2016
Ansperto, Via - cv 5                       - Richiesta assessore;Vari;;1;5;4;20;10/11/2016
Ansperto, Via (angolo Via Luini) - Richiesta assessore;Vari;;1;5;1;5;10/11/2016
Bagutta, Via;Stazione metropolitana;M1 San Babila;1;5;1;5;04/10/2012
Beltrami Luca, Via – A fianco dell'ingresso M1 (lato Decathlon);Vari;;1;5;1;5;30/09/2015
Beltrami Luca, Via – Lato civici dispari (guardando il Castello, a sinistra, lungo il filare alberato);Vari;;1;5;2;10;30/09/2015
Beltrami Luca, Via – Lato civici pari (guardando il Castello, a destra, lungo il filare alberato);Vari;;1;5;3;15;30/09/2015
Bonaparte, Foro – cv 48;Vari;;1;5;1;5;25/06/2015
Bonaparte, Foro – cv 50;Vari;;1;5;1;5;10/06/2015
Bonaparte, Foro – cv 51;Stazione ferroviaria e metropolitana;FNM Cadorna - M1-2;1;5;5;25;04/05/2012
Bonaparte, Foro – cv 52;Vari;;1;5;1;5;10/06/2015
Bonaparte, Foro – cv 56;Vari;;1;5;1;5;10/06/2015
Bonaparte, Foro – cv 66;Vari;;1;5;1;5;10/06/2015
Bonaparte, Foro – cv 70;Vari;;1;5;1;5;10/06/2015
Bonaparte, Foro – Fronte cv 48, lato opposto, presso fermata TPL;Vari;;1;5;1;5;2013
Cadorna, Piazzale – All'angolo con Via Carducci;Stazione ferroviaria e metropolitana;FNM Cadorna - M1-2;1;5;2;10;19/04/2012
Cadorna, Piazzale – Cadorna Trenord ingresso principale - MM 1-2  ;Stazione ferroviaria e metropolitana;FNM Cadorna - M1-2;1;5;4;20;19/04/2012
Cairoli, Largo – Fianco ingresso M1  (guardando Via Dante, a dx) imbocco Via Dante, lato Via Camperio;Vari;;1;5;1;5;01/10/2015
Cairoli, Largo – Fianco ingresso M1  (guardando Via Dante, a dx) imbocco Via Dante, lato Via Dante;Vari;;1;5;2;10;01/10/2015
Cairoli, Largo – Fianco ingresso M1  (guardando Via Dante, a sx) imbocco Via Dante, lato Via Dante;Vari;;1;5;2;10;01/10/2015
